position,rec_id,year,country,commodity,location,fac_name,fac_type,dmslat,dmslong,latitude,longitude,precision,mm,op_comp,maininvest,othinvest,status,capacity,units,notes,cite
406,2799,2006,France,Cement,Bussac-For.t,"Cimenterie de Bussac",Plant,"45. 14'  N","001. 38'  W",45.23,-0.37,F,,"Ciments Calcia (Ciments Fran.ais)",,,Active,775,"thousand metric tons per year",,849
407,2800,2006,France,Cement,Amn.ville,"Cimenterie de Rombas",Plant,"49. 16'  N","006. 08'  E",49.26,6.13,F,,"Ciments Calcia (Ciments Fran.ais)",,,Active,660,"thousand metric tons per year",,849
408,2801,2006,France,Cement,Beffes,"Cimenterie de Beffes",Plant,"47. 05'  N","003. 00'  E",47.08,3,F,,"Ciments Calcia (Ciments Fran.ais)",,,Active,600,"thousand metric tons per year",,849
409,2802,2006,France,Cement,Ebange,"Usine d'Ebange",Plant,"49. 20'  N","006. 09'  E",49.33,6.15,F,,"Holcim France Benelux S.A.S.",,,Active,600,"thousand metric tons per year",,849
410,2803,2006,France,Cement,Gargenville,"Cimenterie de Gargenville",Plant,"48. 59'  N","001. 49'  E",48.98,1.82,F,,"Ciments Calcia (Ciments Fran.ais)",,,Active,600,"thousand metric tons per year",,849
411,2804,2006,France,Cement,"Saint Egr.ve","Usine de Saint Egr.ve",Plant,"45. 14'  N","005. 40'  E",45.23,5.67,F,,"Vicat Group",,,Active,600,"thousand metric tons per year",,849
412,2805,2006,France,Cement,Rouen,"Usine de Rouen",Plant,"49. 26'  N","001. 06'  E",49.43,1.1,F,,"Holcim France Benelux S.A.S.",,,Active,580,"thousand metric tons per year",,849
413,2806,2006,France,Cement,Crechy,"Usine de Crechy",Plant,"46. 15'  N","003. 26'  E",46.25,3.43,F,,"Vicat Group",,,Active,550,"thousand metric tons per year",,849
414,2807,2006,France,Cement,Ranville,"Cimenterie de Ranville",Plant,"49. 13'  N","001. 43'  W",49.22,-0.28,F,,"Ciments Calcia (Ciments Fran.ais)",,,Active,550,"thousand metric tons per year",,849
415,2808,2006,France,Cement,Lozanne,"Usine de Val d'Azergues",Plant,"45. 52'  N","004. 40'  E",45.87,4.66,F,,"Lafarge Ciments",,,Active,450,"thousand metric tons per year",,849
416,2809,2006,France,Cement,Contes,"Cimenterie de Contes",Plant,"43. 48'  N","007. 20'  E",43.8,7.33,F,,"Lafarge Ciments",,,Active,400,"thousand metric tons per year",,849
417,2810,2006,France,Cement,Villiers-au-Bouin,"Cimenterie de Villiers-au-Bouin",Plant,"47. 35'  N","000. 20'  E",47.59,0.33,F,,"Ciments Calcia (Ciments Fran.ais)",,,Active,380,"thousand metric tons per year",,849
418,2811,2006,France,Cement,Lezinnes,"Usine de Frangey",Plant,"47. 47'  N","004. 04'  E",47.79,4.07,F,,"Lafarge Ciments",,,Active,300,"thousand metric tons per year",,849
419,2812,2006,France,Cement,Cruas,"Cimenterie de Cruas",Plant,"44. 38'  N","004. 45'  E",44.64,4.75,F,,"Ciments Calcia (Ciments Fran.ais)",,,Active,240,"thousand metric tons per year",,849
420,2813,2006,France,Cement,"Saint Laurent du Pont","Usine de la P.relle",Plant,"45. 22'  N","005. 45'  E",45.37,5.75,F,,"Vicat Group",,,Active,200,"thousand metric tons per year",,849
421,2814,2006,France,"Clay: kaolin",Quessoy,"Kaolin d'Arvor Mine",Mine,"48. 25'  N","003. 22'  W",48.42,-2.63,F,,"La Source Compagnie Mini.re",,,Active,300,"thousand metric tons per year",,849
422,2815,2006,France,Cobalt,"Sandouville, near Le Havre","Plant at Sandouville, near Le Havre",Plant,"49. 29'  N","000. 19'  E",49.48,0.32,F,,"Soci.t. M.tallurgique le Nickel (SLN)",,,Active,600,"metric tons per year",,849
423,2816,2006,France,"Copper: metal",Palais-sur-Vienne,"Electrolytic plant at Palais-sur-Vienne",Plant,"45. 51'  N","001. 18'  E",45.85,1.3,F,,"Compagnie G.n.rale d'.lectrolyse du Palais",,,Active,45,"thousand metric tons per year",,849
424,2817,2006,France,"Copper: metal","Poissy, Yvelines","Smelter at Poissy, Yvelines",Plant,"48. 56'  N","002. 03'  E",48.94,2.05,F,,"Soci.t. Fran.aise d'Affinage du Cuivre",,,Active,11,"thousand metric tons per year",,849
425,2818,2006,France,Diatomite,Riom-.s-Montagnne,"Mine at Riom-.s-Montagnne",Mine,"45. 17'  N","002. 40'  E",45.29,2.67,F,,"Ceca S.A.",,,Active,100,"thousand metric tons per year","Combined capacities for positions 425.426.",849
426,2819,2006,France,Diatomite,Riom-.s-Montagnne,"Plant at Riom-.s-Montagnne",Plant,"45. 17'  N","002. 40'  E",45.29,2.67,F,,"Ceca S.A.",,,Active,100,"thousand metric tons per year","Combined capacities for positions 425.426.",849
427,2820,2006,France,Diatomite,"St. Bauzille","Mine at St. Bauzile",Mine,"44. 41'  N","004. 41'  E",44.68,4.68,F,,"Ceca S.A.",,,Active,100,"thousand metric tons per year","Combined capacities for positions 427.428.",849
428,2821,2006,France,Diatomite,"St. Bauzille","Plant at St. Bauzile",Plant,"44. 41'  N","004. 41'  E",44.68,4.68,F,,"Ceca S.A.",,,Active,100,"thousand metric tons per year","Combined capacities for positions 427.428.",849
429,2822,2006,France,Feldspar,"St. Chely d'Apcher","Mine at St. Chely d'Apcher",Mine,"44. 48'  N","003. 17'  E",44.8,3.28,F,,"Denain-Anzin Mineraux S.A. (Imerys Group)",,,Active,55,"thousand metric tons per year","Combined capacities for positions 429.430.",849
430,2823,2006,France,Feldspar,"St. Chely d'Apcher","Plant at St. Chely d'Apcher",Plant,"44. 48'  N","003. 17'  E",44.8,3.28,F,,"Denain-Anzin Mineraux S.A. (Imerys Group)",,,Active,55,"thousand metric tons per year","Combined capacities for positions 429.430.",849
431,2824,2006,France,Ferroalloys,Boulogne-sur-Mer,"Plant at Boulogne-sur-Mer",Plant,"50. 43'  N","001. 37'  E",50.72,1.62,A,,"Comilog International",,,Active,500,"thousand metric tons per year",,849
432,2825,2006,France,Ferroalloys,Boulogne-sur-Mer,"Plant at Boulogne-sur-Mer",Plant,"50. 43'  N","001. 37'  E",50.72,1.62,A,,"Soci.t. du Ferromanganese de Paris, Outreau",,,Active,420,"thousand metric tons per year",,849
433,2826,2006,France,Ferroalloys,Bellegarde,"Plant at Bellegarde",Plant,"45. 52'  N","001. 10'  E",45.87,1.17,A,,"Pechiney Electrom.tallurgie",,,Active,400,"thousand metric tons per year","Combined capacities for positions 433.435.",849
434,2827,2006,France,Ferroalloys,Laudun,"Plant at Laudun",Plant,"44. 05'  N","004. 42'  E",44.09,4.7,A,,"Pechiney Electrom.tallurgie",,,Active,400,"thousand metric tons per year","Combined capacities for positions 433.435.",849
435,2828,2006,France,Ferroalloys,Marignac,"Plant at Marignac",Plant,"42. 55'  N","000. 39'  E",42.92,0.65,F,,"Pechiney Electrom.tallurgie",,,Active,400,"thousand metric tons per year","Combined capacities for positions 433.435.",849
436,2829,2006,France,Fluorspar,"Southern France","Mines in southern France",Mine,"44. 17'  N","001. 43'  E",44.28,1.72,F,,"Soci.t. G.nerale de Recherches et d'Exploitation Mini.res (Alcan Inc.)",,,Active,150,"thousand metric tons per year",,849
437,2830,2006,France,Gypsum,Taverny,"Mine at Taverny",Mine,"49. 03'  N","002. 13'  E",49.05,2.21,F,,"S.A. de Mat.riel de Construction",,,Active,1500,"thousand metric tons per year",,849
438,2831,2006,France,"Iron and steel: steel",Gadrange,"Plant at Gadrange",Plant,"49. 16'  N","006. 08'  E",49.27,6.13,F,,"Sollac Unimetal","Usinor Group, 100%",,Active,8400,"thousand metric tons per year","Combined capacities for positions 438.440.",849
439,2832,2006,France,"Iron and steel: steel","Neuves Maisons","Plant at Neuves Maisons",Plant,"49. 56'  N","004. 02'  E",49.93,4.03,F,,"Sollac Unimetal","Usinor Group, 100%",,Active,8400,"thousand metric tons per year","Combined capacities for positions 438.440.",849
440,2833,2006,France,"Iron and steel: steel",Thionville,"Plant at Thionville",Plant,"49. 20'  N","006. 09'  E",49.34,6.15,F,,"Sollac Unimetal","Usinor Group, 100%",,Active,8400,"thousand metric tons per year","Combined capacities for positions 438.440.",849
441,2834,2006,France,"Iron and steel: steel",Dunkerque,"Plant at Dunkerque",Plant,"51. 02'  N","002. 17'  E",51.03,2.29,F,,"Sollac Atlantique S.A. (Acelor Group)",,,Active,6700,"thousand metric tons per year",,849
442,2835,2006,France,"Iron and steel: steel",Fos-sur-Mer,"Plant at Fos-sur-Mer",Plant,"43. 26'  N","004. 58'  E",43.43,4.97,F,,"Sollac Atlantique S.A. (Acelor Group)",,,Active,4200,"thousand metric tons per year",,849
443,2836,2006,France,"Iron and steel: steel",Florange,"Plant at Florange",Plant,"49. 20'  N","006. 06'  E",49.33,6.1,F,,"Sollac Atlantique S.A. (Acelor Group)",,,Active,3200,"thousand metric tons per year",,849
444,2837,2006,France,Mica,"Ploemeur, Brittany","Mine at Ploemeur, Brittany",Mine,"47. 44'  N","004. 35'  W",47.73,-3.42,F,,"Denain-Anzin Min.raux S.A. (Imerys Group)",,,Active,160,"thousand metric tons per year",,849
445,2838,2006,France,"Natural gas",Lacq,"Gas field and plant at Lacq","Oil, Gas","43. 25'  N","001. 22'  W",43.41,-0.63,A,,"Soci.t. Nationale Elf Aquitaine (SNEA)",,,Active,20000,"thousand metric tons per year",,849
446,2839,2006,France,"Nickel: metal",Sandouville,"Plant at Sandouville",Plant,"49. 29'  N","000. 18'  E",49.48,0.3,F,,"Soci.t. M.tallurgia le Nickel (SLN)",,,Active,16,"thousand metric tons per year",,849
447,2840,2006,France,"Nitrogen: N content of ammonia",Grandpuits,"Plant at Grandpuits",Plant,"48. 35'  N","002. 58'  E",48.59,2.96,F,,"Grande Paroisse S.A.",,,Active,390,"thousand metric tons per year",,849
448,2841,2006,France,"Petroleum: crude","Paris Basin","Paris Basin oilfields","Oil, Gas","44. 24'  N","001. 12'  E",44.4,1.2,A,,"Soci.t. National Elf Aquitaine (SNEA)",,,Active,1,"thousand 42-gallon barrels per day",,849
449,2842,2006,France,"Petroleum: refined",Gonfreville,"Raffinerie de Gonfreville",Plant,"49. 29'  N","000. 14'  E",49.49,0.24,F,,"Total S.A.",,,Active,446,"thousand 42-gallon barrels per day",,849
450,2843,2006,France,"Petroleum: refined",Harfleur,"Raffinerie de Normandie",Plant,"49. 29'  N","000. 15'  E",49.48,0.25,F,,"Total France S.A.",,,Active,331,"thousand 42-gallon barrels per day",,849
451,2844,2006,France,"Petroleum: refined",Port-J.r.me,"Esso refinery - Port J.r.me-Gravenchon",Plant,"49. 28'  N","000. 33'  E",49.47,0.55,F,,"Esso Raffinage S.A.F.",,,Active,233,"thousand 42-gallon barrels per day",,849
452,2845,2006,France,"Petroleum: refined",Donges,"Raffinerie de Donges",Plant,"47. 19'  N","003. 56'  W",47.32,-2.07,F,,"Total France S.A.",,,Active,230,"thousand 42-gallon barrels per day",,849
453,2846,2006,France,"Petroleum: refined",Lav.ra,"Lav.ra Refinery",Plant,"43. 23'  N","005. 00'  E",43.38,5,F,,"INEOS Refining Ltd.",,,Active,207,"thousand 42-gallon barrels per day",,849
454,2847,2006,France,"Petroleum: refined","La M.de","Raffinerie de Provence",Plant,"43. 24'  N","005. 06'  E",43.4,5.1,F,,"Total France S.A.",,,Active,158,"thousand 42-gallon barrels per day",,849
455,2848,2006,France,"Petroleum: refined","Petit Couronne","Petit Couronne Refinery",Plant,"49. 23'  N","001. 01'  E",49.38,1.02,F,,"Petroplus Holdings AG",,,Active,154,"thousand 42-gallon barrels per day",,849
456,2849,2006,France,"Petroleum: refined",Loon-Plage,"Raffinerie de Flanders",Plant,"51. 01'  N","002. 16'  E",51.02,2.26,F,,"Total France S.A.",,,Active,141,"thousand 42-gallon barrels per day",,849
457,2850,2006,France,"Petroleum: refined",Fos-sur-Mer,"Esso refinery - Fos-sur-Mer",Plant,"43. 26'  N","004. 56'  E",43.44,4.93,F,,"Esso Raffinage S.A.F.",,,Active,119,"thousand 42-gallon barrels per day",,849
458,2851,2006,France,"Petroleum: refined",Feyzin,"Raffinerie de Feyzin",Plant,"45. 41'  N","004. 50'  E",45.68,4.84,F,,"Total France S.A.",,,Active,117,"thousand 42-gallon barrels per day",,849
459,2852,2006,France,"Petroleum: refined",Mormant,"Raffinerie de Grandpuits",Plant,"48. 35'  N","002. 57'  E",48.59,2.95,F,,"Total France S.A.",,,Active,101,"thousand 42-gallon barrels per day",,849
460,2853,2006,France,"Petroleum: refined",Reichstett,"Reichstett Vendenheim Refinery",Plant,"48. 40'  N","007. 46'  E",48.67,7.77,F,,"Petroplus Holdings AG",,,Active,85,"thousand 42-gallon barrels per day",,849
461,2854,2006,France,"Petroleum: refined","Berre l'Etang","Berre Refinery",Plant,"43. 29'  N","005. 11'  E",43.49,5.18,F,,"Compagnie de Distribution des Hydrocarbures SAS  (Shell Petrochemie Mediterranee)",,,Active,78,"thousand 42-gallon barrels per day",,849
462,2855,2006,France,Salt,"Aigues Mortes","Mine at Aigues Mortes",Mine,"43. 34'  N","004. 11'  E",43.57,4.19,A,,"Compagnie des Salins du Midi et des Salines de l'Est (Salins Group)",,,Active,2500,"thousand metric tons per year","Combined capacities for positions 462.467.",849
463,2856,2006,France,Salt,"Aigues Mortes","Plant at Aigues Mortes",Plant,"43. 34'  N","004. 11'  E",43.57,4.19,A,,"Compagnie des Salins du Midi et des Salines de l'Est (Salins Group)",,,Active,2500,"thousand metric tons per year","Combined capacities for positions 462.467.",849
464,2857,2006,France,Salt,"Dax, Salin de Girad","Mine at Dax, Salin de Girad",Mine,"43. 23'  N","004. 45'  E",43.39,4.75,F,,"Compagnie des Salins du Midi et des Salines de l'Est (Salins Group)",,,Active,2500,"thousand metric tons per year","Combined capacities for positions 462.467.",849
465,2858,2006,France,Salt,"Dax, Salin de Girad","Plant at Dax, Salin de Girad",Plant,"43. 23'  N","004. 45'  E",43.39,4.75,F,,"Compagnie des Salins du Midi et des Salines de l'Est (Salins Group)",,,Active,2500,"thousand metric tons per year","Combined capacities for positions 462.467.",849
466,2859,2006,France,Salt,Varangeville,"Mine at Varangeville",Mine,"48. 38'  N","006. 16'  E",48.64,6.26,F,,"Compagnie des Salins du Midi et des Salines de l'Est (Salins Group)",,,Active,2500,"thousand metric tons per year","Combined capacities for positions 462.467.",849
467,2860,2006,France,Salt,Varangeville,"Plant at Varangeville",Plant,"48. 38'  N","006. 16'  E",48.64,6.27,F,,"Compagnie des Salins du Midi et des Salines de l'Est (Salins Group)",,,Active,2500,"thousand metric tons per year","Combined capacities for positions 462.467.",849
468,2861,2006,France,Sulfur,Lacq,"Byproduct from natural gas, Lacq plant",Plant,"43. 25'  N","001. 22'  W",43.41,-0.63,F,,"Soci.t. Nationale Elf Aquitaine (SNEA)",,,Active,3000,"thousand metric tons per year",,849
469,2862,2006,France,Talc,"Luzenac, Ariege, Pyrenees","Trimouns Mine near Luzenac",Mine,"42. 46'  N","001. 46'  E",42.77,1.76,F,,"Talc de Luzenac S.A.","Rio Tinto Corp., 100%",,Active,350,"thousand metric tons per year",,849
470,2863,2006,France,Uranium,Limousin,"Mine at Limousin",Mine,"46. 08'  N","001. 22'  E",46.13,1.37,F,,"Compagnie G.n.ral des Mati.res Nucl.aires (Areva S.A.)",,,Active,2,"thousand metric tons per year",,849
471,2864,2006,France,Uranium,Vendee,"Mine at Vendee",Mine,"46. 20'  N","001. 15'  E",46.33,1.25,F,,"Compagnie G.n.ral des Mati.res Nucl.aires (Areva S.A.)",,,Active,2,"thousand metric tons per year",,849
472,2865,2006,Germany,Alumina,Stade,"Plant at Stade",Plant,"53. 39'  N","009. 30'  E",53.65,9.5,F,,"Aluminum Oxid Stade GmbH","DADCO  Alumina & Chemicals Ltd., 100%",,Active,900,"thousand metric tons per year",,849
473,2866,2006,Germany,Alumina,Bergheim,"Plant at Bergheim (fused alumina)",Plant,"50. 56'  N","006. 40'  E",50.94,6.67,F,,"Martinswerk GmbH",,,Active,350,"thousand metric tons per year",,849
474,2867,2006,Germany,Alumina,Schwandorf,"Plant at Schwandorf (special aluminas)",Plant,"49. 19'  N","012. 07'  E",49.32,12.11,A,,"Nabaltec GmbH",,,Active,55,"thousand metric tons per year",,849
475,2868,2006,Germany,Aluminum,L.nen,"Lippenwerk at L.nen (Secondary)",Plant,"51. 13'  N","006. 43'  E",51.21,6.71,A,,"Aluminum Norf GmbH","Novelis Inc., 50%, and Hydro Aluminum Deutschland GmbH, 50%",,Active,600,"thousand metric tons per year","Combined capacities for positions 475.476.",849
476,2869,2006,Germany,Aluminum,Neuss,"Primary rolling mill at Neuss",Plant,"51. 29'  N","006. 58'  E",51.49,6.97,F,,"Aluminum Norf GmbH","Novelis Inc., 50%, and Hydro Aluminum Deutschland GmbH, 50%",,Active,600,"thousand metric tons per year","Combined capacities for positions 475.476.",849
477,2870,2006,Germany,Aluminum,Deizisau,"Secondary smelter: Neckarwerk at Deizisau",Plant,"51. 05'  N","006. 37'  E",51.09,6.62,F,,"Aleris Recycling (German Works) GmbH","Aleris International Inc., 100%",,Active,320,"thousand metric tons per year","Combined capacities for positions 477.479.",849
478,2871,2006,Germany,Aluminum,Grevenbroich,"Secondary smelter:  Erftwerk at Grevenbroich",Plant,"48. 15'  N","012. 35'  E",48.25,12.59,F,,"Aleris Recycling (German Works) GmbH","Aleris International Inc., 100%",,Active,320,"thousand metric tons per year","Combined capacities for positions 477.479.",849
479,2872,2006,Germany,Aluminum,"T.ging am Inn","Secondary smelter: Innwerk at T.ging am Inn",Plant,"51. 37'  N","007. 31'  E",51.61,7.51,F,,"Aleris Recycling (German Works) GmbH","Aleris International Inc., 100%",,Active,320,"thousand metric tons per year","Combined capacities for positions 477.479.",849
480,2873,2006,Germany,Aluminum,Grevenbroich,"Primary rolling mill at Grevenbroich",Plant,"51. 09'  N","006. 47'  E",51.15,6.78,F,,"Hydro Aluminum Deutschland GmbH","Norsk Hydro ASA, 100%",,Active,300,"thousand metric tons per year","Combined capacities for positions 480.481.",849
481,2874,2006,Germany,Aluminum,Neuss,"Primary smelter:  Rheinwerk at Neuss",Plant,"53. 39'  N","009. 30'  E",53.65,9.5,F,,"Hydro Aluminum Deutschland GmbH","Norsk Hydro ASA, 100%",,Active,300,"thousand metric tons per year","Combined capacities for positions 480.481.",849
482,2875,2006,Germany,Aluminum,Essen-Borbeck,"Smelter at Essen-Borbeck",Plant,"51. 05'  N","006. 37'  E",51.08,6.62,F,,"Trimet Aluminum AG",,,Active,155,"thousand metric tons per year",,849
483,2876,2006,Germany,Aluminum,Asperg,"Secondary cast alloy plant at Asperg",Plant,"48. 55'  N","009. 09'  E",48.92,9.15,F,,"Metallh.ttenwerke Bruch GmbH",,,Active,110,"thousand metric tons per year","Combined capacities for positions 483.485.",849
484,2877,2006,Germany,Aluminum,"Bad S.ckingen","Secondary cast alloy plant at Bad S.ckingen",Plant,"47. 34'  N","007. 55'  E",47.56,7.91,F,,"Metallh.ttenwerke Bruch GmbH",,,Active,110,"thousand metric tons per year","Combined capacities for positions 483.485.",849
485,2878,2006,Germany,Aluminum,Dortmund,"Secondary foundry alloy plant at Dortmund",Plant,"51. 32'  N","007. 28'  E",51.54,7.46,F,,"Metallh.ttenwerke Bruch GmbH",,,Active,110,"thousand metric tons per year","Combined capacities for positions 483.485.",849
486,2879,2006,Germany,Aluminum,Koblenz,"Mill at Koblenz",Mine,"50. 23'  N","007. 35'  E",50.39,7.59,F,,"Corus Aluminum Voerde GmbH","Corus Group plc., 100%",,Active,100,"thousand metric tons per year","Combined capacities for positions 486.487.",849
487,2880,2006,Germany,Aluminum,"Voerde, North Rhine-Westphalia","Primary smelter at Voerde, North Rhine-Westphalia",Plant,"51. 37'  N","006. 40'  E",51.62,6.66,F,,"Corus Aluminum Voerde GmbH","Corus Group plc., 100%",,Active,100,"thousand metric tons per year","Combined capacities for positions 486.487.",849
488,2881,2006,Germany,"Arsenic: metal",Langelsheim,"Plant at Langelsheim",Plant,"51. 56'  N","010. 20'  E",51.93,10.33,F,,"PPM Pure Metals GmbH","Metaleurop S.A., 100%",,Active,0.005,"thousand metric tons per year",,849
489,2882,2006,Germany,Barite,Wolfach,"Clara Mine",Mine,"48. 17'  N","008. 13'  E",48.29,8.21,F,,"Sachtleben Bergbau GmbH",,,Active,60,"thousand metric tons per year","Combined capacities for positions 489.490.",849
490,2883,2006,Germany,Barite,Wolfach,"Plant at Wolfach",Plant,"48. 17'  N","008. 13'  E",48.29,8.21,F,,"Sachtleben Bergbau GmbH",,,Active,60,"thousand metric tons per year","Combined capacities for positions 489.490.",849
491,2884,2006,Germany,Barite,"Bad Lauterberg","Wolkenh.gel mine",Mine,"51. 37'  N","010. 23'  E",51.62,10.39,F,,"Deutsche Baryt-Industrie Dr. Rudolf Alberti GmbH & Co. KG",,,Active,50,"thousand metric tons per year","Combined capacities for positions 491.492.",849
492,2885,2006,Germany,Barite,"Bad Lauterberg","Plant at Bad Lauterberg",Plant,"51. 37'  N","010. 23'  E",51.62,10.39,F,,"Deutsche Baryt-Industrie Dr. Rudolf Alberti GmbH & Co. KG",,,Active,50,"thousand metric tons per year","Combined capacities for positions 491.492.",849
493,2886,2006,Germany,Cement,Lauffen,"Plant at Lauffen",Plant,"49. 05'  N","009. 10'  E",49.08,9.16,F,,"M.rker Zement GmbH",,,Active,0,,,849
494,2887,2006,Germany,Cement,Harburg,"Plant at Harburg",Plant,"53. 28'  N","010. 01'  E",53.46,10.02,F,,"M.rker Zement GmbH",,,Active,0,,,849
495,2888,2006,Germany,Cement,Burglengenfeld,"Plant at Burglengenfeld",Plant,"49. 13'  N","012. 02'  E",49.21,12.03,F,,"HeidelbergCement AG",,,Active,9200,"thousand metric tons per year","Estimate. Combined capacities for positions 495.504.",849
496,2889,2006,Germany,Cement,Paderborn,"Plant at Paderborn",Plant,"51. 42'  N","008. 44'  E",51.7,8.74,F,,"HeidelbergCement AG",,,Active,9200,"thousand metric tons per year","Estimate. Combined capacities for positions 495.504.",849
497,2890,2006,Germany,Cement,Ennigerloh,"Two plants at Ennigerloh",Plant,"51. 52'  N","008. 02'  E",51.86,8.03,F,,"HeidelbergCement AG",,,Active,9200,"thousand metric tons per year","Estimate. Combined capacities for positions 495.504.",849
498,2891,2006,Germany,Cement,Geseke,"Two plants at Geseke",Plant,"51. 38'  N","008. 32'  E",51.63,8.53,F,,"HeidelbergCement AG",,,Active,9200,"thousand metric tons per year","Estimate. Combined capacities for positions 495.504.",849
499,2892,2006,Germany,Cement,"K.nigs Wusterhausen","Plant at K.nigs Wusterhausen",Plant,"52. 18'  N","013. 38'  E",52.3,13.63,F,,"HeidelbergCement AG",,,Active,9200,"thousand metric tons per year","Estimate. Combined capacities for positions 495.504.",849
500,2893,2006,Germany,Cement,Leimen,"Plant at Leimen",Plant,"49. 22'  N","008. 41'  E",49.36,8.69,F,,"HeidelbergCement AG",,,Active,9200,"thousand metric tons per year","Estimate. Combined capacities for positions 495.504.",849
501,2894,2006,Germany,Cement,Lengfurt,"Lengfurt plant",Plant,"49. 49'  N","009. 37'  E",49.81,9.62,F,,"HeidelbergCement AG",,,Active,9200,"thousand metric tons per year","Estimate. Combined capacities for positions 495.504.",849
502,2895,2006,Germany,Cement,Mainz-Weisenau,"Plant at Mainz-Weisenau",Plant,"49. 59'  N","008. 19'  E",49.98,8.31,F,,"HeidelbergCement AG",,,Active,9200,"thousand metric tons per year","Estimate. Combined capacities for positions 495.504.",849
503,2896,2006,Germany,Cement,Schelklingen,"Plant at Schelklingen",Plant,"48. 22'  N","009. 44'  E",48.37,9.74,F,,"HeidelbergCement AG",,,Active,9200,"thousand metric tons per year","Estimate. Combined capacities for positions 495.504.",849
504,2897,2006,Germany,Cement,Wetzlar,"Plant at Wetzlar",Plant,"50. 34'  N","008. 30'  E",50.57,8.5,F,,"HeidelbergCement AG",,,Active,9200,"thousand metric tons per year","Estimate. Combined capacities for positions 495.504.",849
505,2898,2006,Germany,Cement,Deuna,"Plant at Deuna",Plant,"51. 22'  N","010. 29'  E",51.36,10.48,F,,"Dyckerhoff AG","Buzzi Unicem SpA, 88.37%","Private, 11.63%",Active,7200,"thousand metric tons per year","Combined capacities for positions 505.511.",849
506,2899,2006,Germany,Cement,Geseke,"Plant at Geseke",Plant,"51. 37'  N","008. 31'  E",51.62,8.51,F,,"Dyckerhoff AG","Buzzi Unicem SpA, 88.37%","Private, 11.63%",Active,7200,"thousand metric tons per year","Combined capacities for positions 505.511.",849
507,2900,2006,Germany,Cement,G.llheim,"Plant at G.llheim",Plant,"49. 36'  N","008. 02'  E",49.6,8.04,F,,"Dyckerhoff AG","Buzzi Unicem SpA, 88.37%","Private, 11.63%",Active,7200,"thousand metric tons per year","Combined capacities for positions 505.511.",849
508,2901,2006,Germany,Cement,Lengerich,"Plant at Lengerich",Plant,"52. 11'  N","007. 53'  E",52.18,7.89,F,,"Dyckerhoff AG","Buzzi Unicem SpA, 88.37%","Private, 11.63%",Active,7200,"thousand metric tons per year","Combined capacities for positions 505.511.",849
509,2902,2006,Germany,Cement,Neuss,"Plant at Neuss",Plant,"51. 13'  N","006. 43'  E",51.21,6.71,F,,"Dyckerhoff AG","Buzzi Unicem SpA, 88.37%","Private, 11.63%",Active,7200,"thousand metric tons per year","Combined capacities for positions 505.511.",849
510,2903,2006,Germany,Cement,Neuwied,"Plant at Neuwied",Plant,"50. 25'  N","007. 29'  E",50.42,7.48,F,,"Dyckerhoff AG","Buzzi Unicem SpA, 88.37%","Private, 11.63%",Active,7200,"thousand metric tons per year","Combined capacities for positions 505.511.",849
511,2904,2006,Germany,Cement,Wiesbaden,"The Am.neburg plant",Plant,"50. 02'  N","008. 15'  E",50.03,8.25,F,,"Dyckerhoff AG","Buzzi Unicem SpA, 88.37%,","Private, 11.63%",Active,7200,"thousand metric tons per year","Combined capacities for positions 505.511.",849
512,2905,2006,Germany,Cement,Dortmund,"Plant at Dortmund",Plant,"51. 32'  N","007. 26'  E",51.54,7.43,F,,"CEMEX Deutschland AG","CEMEX S.A. de C.V., 100%",,Active,6000,"thousand metric tons per year","Combined capacities for positions 512.516.",849
513,2906,2006,Germany,Cement,Beckum,"Two plants at Beckum",Plant,"51. 46'  N","008. 04'  E",51.76,8.07,F,,"CEMEX Deutschland AG","CEMEX S.A. de C.V., 100%",,Active,6000,"thousand metric tons per year","Combined capacities for positions 512.516.",849
514,2907,2006,Germany,Cement,Duisburg,"Plant at Duisburg",Plant,"51. 27'  N","006. 45'  E",51.45,6.75,F,,"CEMEX Deutschland AG","CEMEX S.A. de C.V., 100%",,Active,6000,"thousand metric tons per year","Combined capacities for positions 512.516.",849
515,2908,2006,Germany,Cement,Eisenh.ttenstadt,"Plant at Eisenh.ttenstadt",Plant,"52. 10'  N","014. 39'  E",52.16,14.65,F,,"CEMEX Deutschland AG","CEMEX S.A. de C.V., 100%",,Active,6000,"thousand metric tons per year","Combined capacities for positions 512.516.",849
516,2909,2006,Germany,Cement,R.dersdorf,"Plant at R.dersdorf",Plant,"52. 29'  N","013. 50'  E",52.49,13.83,F,,"CEMEX Deutschland AG","CEMEX S.A. de C.V., 100%",,Active,6000,"thousand metric tons per year","Combined capacities for positions 512.516.",849
517,2910,2006,Germany,Cement,Bernburg,"Plant at Bernburg",Plant,"51. 49'  N","011. 46'  E",51.81,11.76,F,,"SCHWENK Zement KG",,,Active,5000,"thousand metric tons per year","Combined capacities for positions 517.520.",849
518,2911,2006,Germany,Cement,Karlstadt,"Plant at Karlstadt",Plant,"49. 57'  N","009. 46'  E",49.95,9.77,F,,"SCHWENK Zement KG",,,Active,5000,"thousand metric tons per year","Combined capacities for positions 517.520.",849
